2;AStar;50,00;30,10;0;48,37;78,48
4;AStar;26,00;18,26;0;99,44;117,70
3;AStar;33,00;22,92;2;97,94;120,86
1;AStar;21,00;14,47;0;24,37;38,84
2;AStar;22,00;14,96;0;26,34;41,30
3;AStar;33,00;37,82;0;26,67;64,49
5;AStar;16,00;12,35;0;118,46;130,81
4;AStar;33,00;21,48;1;117,59;139,07
6;AStar;30,00;38,31;0;119,43;157,74
7;AStar;33,00;43,66;0;120,32;163,98
8;AStar;18,00;53,05;0;121,24;174,28
9;AStar;33,00;66,70;0;122,14;188,84
10;AStar;14,00;69,77;0;123,11;192,88
12;AStar;16,00;80,31;0;124,97;205,28
11;AStar;33,00;89,80;0;124,01;213,81
13;AStar;32,00;103,15;0;126,03;229,17
14;AStar;31,00;113,71;0;126,99;240,71
15;AStar;17,00;117,75;0;128,04;245,78
16;AStar;32,00;135,51;0;129,00;264,50
17;AStar;30,00;145,59;0;130,24;275,82
18;AStar;17,00;149,81;0;131,27;281,08
19;AStar;32,00;167,53;0;132,25;299,78
20;AStar;18,00;169,47;0;133,50;302,96
21;AStar;38,00;23,07;0;322,70;345,77
22;AStar;43,00;28,62;0;325,71;354,33
23;AStar;32,00;27,58;1;361,79;389,37
24;AStar;41,00;29,88;0;372,88;402,76
2;AStar;21,00;14,90;0;17,57;32,47
1;AStar;32,00;20,56;0;14,75;35,31
4;AStar;13,00;23,11;0;27,58;50,68
3;AStar;17,00;28,97;0;22,76;51,72
5;AStar;8,00;34,96;0;30,78;65,73
6;AStar;16,00;32,84;0;37,59;70,44
7;AStar;12,00;41,83;1;38,79;80,61
8;AStar;16,00;47,93;1;46,80;94,72
9;AStar;12,00;48,00;0;47,61;95,61
10;AStar;10,00;55,00;0;54,81;109,81
11;AStar;14,00;55,87;0;57,61;113,49
2;AStar;25,00;16,65;1;10,11;26,76
1;AStar;41,00;25,57;1;9,98;35,55
8;AStar;31,00;42,59;4;85,92;128,51
10;AStar;36,00;45,44;4;87,04;132,48
5;AStar;38,00;51,49;7;84,03;135,52
4;AStar;52,00;57,29;3;80,83;138,13
6;AStar;57,00;56,86;6;84,83;141,68
9;AStar;60,00;61,31;8;86,48;147,79
11;AStar;63,00;62,82;6;87,53;150,35
7;AStar;62,00;65,41;11;85,42;150,83
2;AStar;23,00;15,47;0;17,14;32,60
1;AStar;26,00;18,46;1;16,13;34,58
3;AStar;28,00;41,66;1;20,98;62,64
4;AStar;24,00;19,99;0;42,67;62,66
5;AStar;28,00;20,39;1;87,37;107,76
6;AStar;44,00;26,00;1;104,34;130,34
2;AStar;25,00;16,60;0;10,83;27,43
1;AStar;28,00;19,98;1;9,42;29,40
3;AStar;31,00;24,21;0;34,36;58,57
4;AStar;29,00;18,52;0;52,77;71,29
4;AStar;3,00;5,53;0;161,72;167,25
2;AStar;49,00;163,14;78;133,11;296,25
3;AStar;27,00;135,21;74;161,12;296,32
5;AStar;41,00;128,72;66;176,11;304,83
2;AStar;22,00;15,07;2;6,41;21,48
1;AStar;23,00;18,62;2;5,90;24,52
6;AStar;24,00;55,15;1;135,52;190,67
5;AStar;23,00;68,20;3;125,50;193,70
7;AStar;26,00;75,21;1;144,66;219,87
8;AStar;25,00;69,52;1;150,83;220,35
9;AStar;26,00;20,87;0;226,16;247,02
2;AStar;20,00;13,99;0;11,75;25,74
1;AStar;21,00;18,39;2;10,37;28,76
1;AStar;23,00;15,73;0;10,87;26,60
1;AStar;22,00;15,02;0;4,59;19,61
2;AStar;23,00;20,63;3;16,53;37,17
1;AStar;21,00;14,55;0;18,43;32,98
2;AStar;19,00;14,12;1;33,87;47,99
3;AStar;27,00;17,81;1;75,05;92,87
4;AStar;27,00;18,13;1;89,73;107,86
2;AStar;20,00;14,03;0;15,24;29,27
1;AStar;24,00;20,61;3;14,67;35,28
3;AStar;27,00;18,94;1;69,37;88,31
4;AStar;27,00;24,70;2;70,69;95,39
5;AStar;25,00;46,17;2;71,52;117,69
6;AStar;25,00;68,61;0;72,41;141,02
7;AStar;25,00;73,84;0;73,17;147,01
8;AStar;25,00;96,05;0;74,42;170,47
9;AStar;27,00;99,79;0;77,55;177,34
1;AStar;20,00;14,15;0;7,00;21,15
2;AStar;22,00;17,56;2;9,80;27,36
3;AStar;25,00;35,99;0;14,89;50,88
4;AStar;25,00;39,85;0;16,06;55,92
5;AStar;27,00;62,41;0;19,30;81,71
6;AStar;25,00;67,07;1;20,77;87,84
7;AStar;25,00;88,64;1;22,50;111,14
8;AStar;30,00;19,42;1;140,81;160,24
9;AStar;27,00;20,11;2;143,10;163,21
10;AStar;25,00;43,64;0;145,19;188,84
11;AStar;25,00;44,73;0;147,13;191,85
12;AStar;25,00;69,68;0;148,86;218,54
13;AStar;27,00;73,97;2;150,73;224,70
1;AStar;27,00;17,91;1;23,78;41,69
2;AStar;22,00;18,47;3;26,28;44,75
3;AStar;27,00;19,81;1;65,76;85,56
4;AStar;25,00;24,11;1;67,44;91,55
5;AStar;35,00;53,70;2;69,52;123,21
6;AStar;27,00;41,85;2;84,41;126,27
7;AStar;25,00;65,63;0;86,35;151,98
8;AStar;27,00;70,06;2;88,00;158,06
9;AStar;25,00;92,02;0;89,52;181,54
10;AStar;27,00;96,70;0;91,00;187,69
11;AStar;27,00;120,01;0;92,42;212,43
12;AStar;25,00;35,06;1;183,52;218,58
13;AStar;31,00;57,75;1;191,53;249,28
14;AStar;27,00;63,44;3;191,92;255,36
